path,action,rationale,stale_hits
docs/HANDOFF_2026_04_09_MIDMORNING.md,ARCHIVE,Historical session log — move to docs/archive/2026-04/,95
docs/RESUME_HERE_2026_04_08_EVENING.md,DELETE,One-shot resume/kickoff prompts from April 8 sessions,72
docs/MG_UNIFIED_TODO_LIST.md,UPDATE,"Docs file with 62 stale hits (sqlite=2, intel/=0, openclaw=23, vps=9)",62
CLAUDE.md,REWRITE,Claude Code agent instructions — must be current,50
AI_ROADMAP.md,REWRITE,Forward-looking roadmap — strip SQLite/OpenClaw,49
REPAIR_LOG.md,ARCHIVE,Root-level historical — archive per user decision,46
docs/DB_STATE_2026-04-23.md,ARCHIVE,Postgres migration complete — point-in-time doc,37
docs/SESSION_HANDOFF_2026-04-24.md,ARCHIVE,Historical session log — move to docs/archive/2026-04/,37
README.md,REWRITE,Top of repo — must reflect 2026-04-29 architecture,35
docs/archive/OPENCLAW_INTEGRATION.md,KEEP,Already archived,29
DEPLOYMENT_CHECKLIST.md,REWRITE,Customer-facing — final pass for Mac Mini install,27
docs/POSTGRES_MIGRATION_PLAN_2026-04-23.md,ARCHIVE,Postgres migration complete — point-in-time doc,26
docs/VISION.md,UPDATE,"Docs file with 24 stale hits (sqlite=1, intel/=2, openclaw=18, vps=2)",24
docs/MAC_MINI_DEPLOYMENT_RUNBOOK.md,UPDATE,"Docs file with 23 stale hits (sqlite=2, intel/=0, openclaw=1, vps=19)",23
docs/archive/OPENCLAW_AUDIT_2026-04-23.md,KEEP,Already archived,23
docs/RESUME_HERE_2026_04_08_0840.md,DELETE,One-shot resume/kickoff prompts from April 8 sessions,22
docs/POSTGRES_MIGRATION_STATUS_2026-04-24.md,ARCHIVE,Postgres migration complete — point-in-time doc,18
docs/SESSION_LOG_2026-04-24.md,ARCHIVE,Historical session log — move to docs/archive/2026-04/,18
docs/SESSION_LOG_2026-04-27.md,ARCHIVE,Historical session log — move to docs/archive/2026-04/,16
docs/RESUME_HERE_2026_04_08.md,DELETE,One-shot resume/kickoff prompts from April 8 sessions,15
NEXT_SESSION.md,DELETE,One-shot resume note from old session,14
docs/CAPABILITIES.md,UPDATE,"Docs file with 14 stale hits (sqlite=0, intel/=0, openclaw=9, vps=5)",14
